COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100,Unnamed: 16
Aruba,ABW,AMRO,REPORTING,29/12/2023,217124,90493.0,203.0,85.0,84363.0,79.0,,17/02/2021,,35659.0,33.0,
Afghanistan,AFG,EMRO,REPORTING,31/12/2023,2.30E+07,19200000.0,59.0,49.0,18400000.0,47.0,,22/02/2021,,2729940.0,7.0,
Angola,AGO,AFRO,REPORTING,31/12/2023,2.78E+07,16600000.0,85.0,50.0,9609080.0,29.0,,10/03/2021,,3067091.0,9.0,
Anguilla,AIA,AMRO,REPORTING,29/12/2023,24864,10858.0,166.0,72.0,10382.0,69.0,,05/02/2021,,3231.0,22.0,
Albania,ALB,EURO,REPORTING,23/12/2023,3088966,1349255.0,107.0,47.0,1279333.0,44.0,,13/01/2021,,402371.0,14.0,
Andorra,AND,EURO,REPORTING,23/12/2023,157072,57913.0,203.0,75.0,53501.0,69.0,,20/01/2021,,43071.0,56.0,
Argentina,ARG,AMRO,REPORTING,29/12/2023,1.17E+08,41200000.0,258.0,91.0,38100000.0,84.0,,29/12/2020,,27700000.0,61.0,
Armenia,ARM,EURO,REPORTING,23/12/2023,2256919,1150915.0,76.0,39.0,1030758.0,35.0,,27/01/2021,,81354.0,3.0,
Antigua and Barbuda,ATG,AMRO,REPORTING,29/12/2023,136512,64290.0,139.0,66.0,62384.0,64.0,,01/03/2021,,9838.0,10.0,
Australia,AUS,WPRO,REPORTING,31/12/2023,6.97E+07,22400000.0,273.0,88.0,21800000.0,85.0,,21/02/2021,,14400000.0,56.0,
Austria,AUT,EURO,REPORTING,23/12/2023,2.04E+07,6909588.0,229.0,78.0,6682372.0,75.0,,30/12/2020,,5405966.0,61.0,
Azerbaijan,AZE,EURO,REPORTING,23/12/2023,1.38E+07,5436662.0,136.0,54.0,4888112.0,48.0,,20/01/2021,,3504588.0,35.0,
Burundi,BDI,AFRO,REPORTING,31/12/2023,42252,36909.0,,,36321.0,,,18/10/2021,,314.0,,
Belgium,BEL,EURO,REPORTING,23/12/2023,2.91E+07,9248897.0,253.0,80.0,9152736.0,79.0,,30/12/2020,,7246551.0,63.0,
Benin,BEN,AFRO,REPORTING,31/12/2023,4232541,3697190.0,35.0,30.0,2742837.0,23.0,,29/03/2021,,,,
Burkina Faso,BFA,AFRO,REPORTING,31/12/2023,7893609,6089089.0,38.0,29.0,5232347.0,25.0,,02/06/2021,,4056.0,,
Bulgaria,BGR,EURO,REPORTING,23/12/2023,4723016,2155863.0,68.0,31.0,2080472.0,30.0,,30/12/2020,,864723.0,12.0,
Bahamas,BHS,AMRO,REPORTING,29/12/2023,366359,174810.0,93.0,44.0,166972.0,42.0,,14/03/2021,,33717.0,9.0,
Bosnia and Herzegovina,BIH,EURO,REPORTING,23/12/2023,1190949,546013.0,36.0,17.0,461202.0,14.0,,,,182203.0,6.0,
Belarus,BLR,EURO,REPORTING,23/12/2023,2.28E+07,6451746.0,241.0,68.0,6366658.0,67.0,,03/02/2021,,5724423.0,61.0,
Belize,BLZ,AMRO,REPORTING,29/12/2023,511106,236221.0,129.0,59.0,221478.0,56.0,,01/03/2021,,53189.0,13.0,
Bermuda,BMU,AMRO,REPORTING,29/12/2023,136759,48554.0,220.0,78.0,47657.0,77.0,,11/01/2021,,32016.0,51.0,
Bolivia (Plurinational State of),BOL,AMRO,REPORTING,29/12/2023,1.61E+07,7505389.0,138.0,64.0,6307628.0,54.0,,30/01/2021,,2521192.0,22.0,
Brazil,BRA,AMRO,REPORTING,29/12/2023,5.16E+08,185000000.0,243.0,87.0,173000000.0,81.0,,17/01/2021,,111000000.0,52.0,
